slug,rank,name,symbol,logo,description,website,whitepaper,twitter,telegram,discord,explorer,confirmed
decentraland,64,Decentraland,MANA,"""decentraland-logo.png""",,https://decentraland.org/,https://decentraland.org/whitepaper.pdf,https://twitter.com/decentraland,https://t.me/DecentralandTG,,https://etherscan.io/token/decentraland,1
gnosis-gno,65,Gnosis,GNO,"""gnosis-gno-logo.png""",,https://gnosis.io/,https://github.com/gnosis/research/blob/master/gnosis-whitepaper.pdf,https://twitter.com/gnosisdao,,,https://etherscan.io/token/Gnosis,1
klaytn,66,Klaytn,KLAY,"""klaytn-logo.png""",,https://www.klaytn.foundation/,https://docs.klaytn.foundation/,https://twitter.com/klaytn_official,https://t.me/Klaytn_EN,,https://scope.klaytn.com/blocks,1
nexo,67,Nexo,NEXO,"""nexo-logo.png""",,https://nexo.com,https://nexo.com/assets/downloads/Nexo-Whitepaper.pdf?=a,https://twitter.com/Nexo,https://t.me/nexofinance,,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,1
aioz-network,68,AIOZ Network,AIOZ,"""aioz-network-logo.png""",,https://aioz.network/,,https://twitter.com/AIOZNetwork,https://t.me/aiozofficial,,https://etherscan.io/token/0x626e8036deb333b408be468f951bdb42433cbf18,1
gatetoken,69,GateToken,GT,"""gatetoken-logo.png""",,https://gatechain.io/,,https://twitter.com/gatechain_io,,,,1
dexe,70,DeXe,DEXE,"""dexe-logo.png""",,https://dexe.network/,https://dexe.network/Dexe-DAO-Memo.pdf,https://twitter.com/DexeNetwork,https://t.me/dexe_network_official_chat,,https://etherscan.io/token/0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6,1
iota,71,IOTA,IOTA,"""base-logo.png""",,https://www.iota.org/,https://iota.org/IOTA_Whitepaper.pdf,https://twitter.com/iota,,,https://thetangle.org/,1
kava,72,Kava,KAVA,"""kava-logo.png""",,https://www.kava.io/,https://docsend.com/view/gwbwpc3,https://twitter.com/KAVA_CHAIN,https://t.me/kavalabs,,https://www.mintscan.io/kava,1
oasis-network,73,Oasis,ROSE,"""oasis-network-logo.png""",,,,,,,https://www.oasisscan.com/,1
pancakeswap,74,PancakeSwap,CAKE,"""pancakeswap-logo.png""",,https://pancakeswap.finance/,https://docs.pancakeswap.finance/developers,https://twitter.com/pancakeswap,https://t.me/PancakeSwap,,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,1
livepeer,75,Livepeer,LPT,"""livepeer-logo.png""",,https://livepeer.org/,https://github.com/livepeer/wiki/blob/master/WHITEPAPER.md,https://twitter.com/Livepeer,https://t.me/livepeerorg,https://discord.com/invite/uaPhtyrWsF,https://explorer.livepeer.org/,1
nervos-network,76,Nervos Network,CKB,"""nervos-network-logo.png""",,http://nervos.org/,https://github.com/nervosnetwork/rfcs/blob/master/rfcs/0002-ckb/0002-ckb.md,https://twitter.com/nervosnetwork,https://t.me/nervosnetwork,,https://explorer.nervos.org/,1
helium,77,Helium,HNT,"""helium-logo.png""",,https://www.helium.com/,http://whitepaper.helium.com/,https://twitter.com/helium,https://t.me/helium_network,,https://explorer.helium.com/,1
synthetix-network-token,78,Synthetix,SNX,"""synthetix-network-token-logo.png""",,https://www.synthetix.io/,https://docs.synthetix.io/,https://twitter.com/synthetix_io,,,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f,1
theta-fuel,79,Theta Fuel,TFUEL,"""theta-fuel-logo.png""",,https://www.thetatoken.org,https://s3.us-east-2.amazonaws.com/assets.thetatoken.org/Theta-white-paper-latest.pdf?v=1553657855.509,https://twitter.com/Theta_Network,,https://discord.com/invite/QfMpeZBfKB,https://explorer.thetatoken.org/,1
wootrade,80,WOO,WOO,"""wootrade-logo.png""",,https://woo.org,https://learn.woo.org,https://twitter.com/_WOO_X,https://t.me/woo_english,,https://etherscan.io/token/0x4691937a7508860f876c9c0a2a617e7d9e945d4b,1
curve-dao-token,81,Curve DAO Token,CRV,"""curve-dao-token-logo.png""",,https://www.curve.fi/,,https://twitter.com/curvefinance,https://t.me/curvefi,,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52,1
iotex,82,IoTeX,IOTX,"""iotex-logo.png""",,https://www.iotex.io/,https://www.iotex.io/research,https://twitter.com/iotex_io,https://t.me/IoTeXGroup,,https://etherscan.io/token/0x6fb3e0a217407efff7ca062d46c26e5d60a14d69,1
1inch,83,1inch Network,1INCH,"""1inch-logo.png""",,https://1inch.io/,https://docs.1inch.io/,https://twitter.com/1inch,https://t.me/OneInchNetwork,https://discord.com/invite/1inch,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302,1
ribbon-finance,84,Ribbon Finance,RBN,"""ribbon-finance-logo.png""",,https://www.ribbon.finance/,https://docs.ribbon.finance/,https://twitter.com/ribbonfinance,,https://discord.com/invite/aevo,https://etherscan.io/token/0x6123B0049F904d730dB3C36a31167D9d4121fA6B,1
nxm,85,NXM,NXM,"""nxm-logo.png""",,,,,,,https://etherscan.io/token/0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,1
ocean-protocol,86,Ocean Protocol,OCEAN,"""ocean-protocol-logo.png""",,https://oceanprotocol.com/,https://oceanprotocol.com/tech-whitepaper.pdf,https://twitter.com/oceanprotocol,https://t.me/oceanprotocol,,https://etherscan.io/token/0x7AFeBBB46fDb47ed17b22ed075Cde2447694fB9e,1
trust-wallet-token,87,Trust Wallet Token,TWT,"""trust-wallet-token-logo.png""",,https://trustwallet.com/,,https://twitter.com/TrustWallet,https://t.me/trust_announcements,,https://explorer.binance.org/asset/TWT-8C2,1
ftx-token,88,FTX Token,FAT,"""ftx-token-logo.png""",,,,,,,https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,1
superfarm,89,SuperVerse,SUPER,"""superfarm-logo.png""",,https://superverse.co/,https://docs.superverse.cool/,https://twitter.com/SuperVerseDAO,https://t.me/SuperVerseANN,,https://etherscan.io/token/0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55,1
wemix,90,WEMIX,WEMIX,"""wemix-logo.png""",,http://wemix.com/,https://docs.wemix.com/v/en/,https://twitter.com/WemixNetwork,https://t.me/WEMIX_KOR,,https://scope.klaytn.com/token/0x5096db80b21ef45230c9e423c373f1fc9c0198dd?tabId=kctTransfer,1
trueusd,91,TrueUSD,TUSD,"""trueusd-logo.png""",,https://tusd.io/,,https://twitter.com/tusdio,https://t.me/TUSDofficial_EN,,https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e,1
xinfin-network,92,XinFin Network,XDC,"""xinfin-network-logo.png""",,,,,,,https://etherscan.io/token/0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2,1
compound,93,Compound,COMP,"""compound-logo.png""",,https://compound.finance/governance/comp,,https://twitter.com/compoundfinance,,,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888,1
golem-network-tokens,94,Golem,GLM,"""golem-network-tokens-logo.png""",,https://golem.network/,https://golem.network/doc/Golemwhitepaper.pdf,https://twitter.com/golemproject,,,https://etherscan.io/token/Golem,1
raydium,95,Raydium,RAY,"""raydium-logo.png""",,https://raydium.io/#/,https://raydium.io/Raydium-Litepaper.pdf,https://twitter.com/raydiumprotocol,https://t.me/raydium,https://discord.com/invite/raydium,https://explorer.solana.com/address/4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,1
mantra-dao,96,MANTRA DAO,OM,"""mantra-dao-logo.png""",,,,,,,https://etherscan.io/token/0x3593d125a4f7849a1b059e64f4517a86dd60c95d,1
enjin-coin,97,Enjin Coin,ENJ,"""enjin-coin-logo.png""",,https://enjin.io/,https://docs.enjin.io/,https://twitter.com/enjin,https://t.me/enjin,,https://etherscan.io/token/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,1
celo,98,Celo,CELO,"""celo-logo.png""",,https://celo.org/,http://docs.celo.org/,https://twitter.com/CeloOrg,https://t.me/celoplatform,,https://explorer.celo.org/blocks,1
holo,99,Holo,HOT,"""holo-logo.png""",,https://holochain.org/,https://holo.host/whitepapers/,https://twitter.com/H_O_L_O_,http://t.me/channelHolo,,https://etherscan.io/token/0x6c6ee5e31d828de241282b9606c8e98ea48526e2,1
0x,100,0x Protocol,ZRX,"""0x-logo.png""",,http://0xprotocol.org/,https://0xproject.com/pdfs/0x_white_paper.pdf,https://twitter.com/0xproject,,,https://etherscan.io/token/ZRX,1
zilliqa,101,Zilliqa,ZIL,"""zilliqa-logo.png""",,https://www.zilliqa.com/,https://docs.zilliqa.com/whitepaper.pdf,https://twitter.com/zilliqa,https://t.me/zilliqachat,,https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,1
ankr,102,Ankr,ANKR,"""ankr-logo.png""",,https://www.ankr.com/,https://www.ankr.com/ankr-whitepaper-2.0.pdf,https://twitter.com/ankr,https://t.me/ankrnetwork,,https://etherscan.io/token/0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4,1
zcash,103,Zcash,ZEC,"""zcash-logo.png""",,https://z.cash/,https://github.com/zcash/zips/blob/master/protocol/protocol.pdf,https://twitter.com/electriccoinco,https://t.me/Zcash_Community,https://discord.com/invite/PhJY6Pm,https://explorer.zcha.in/,1
reserve-rights,104,Reserve Rights,RSR,"""reserve-rights-logo.png""",,https://reserve.org/,https://reserve.org/protocol/2021_version/#main-content,https://twitter.com/reserveprotocol,https://t.me/reservecurrency,,https://etherscan.io/token/0x8762db106b2c2a0bccb3a80d1ed41273552616e8,1
rocket-pool,105,Rocket Pool,RPL,"""rocket-pool-logo.png""",,https://www.rocketpool.net/,https://docs.rocketpool.net,https://twitter.com/Rocket_Pool,,,https://etherscan.io/token/0xb4efd85c19999d84251304bda99e90b92300bd93,1
skale-network,106,SKALE,SKL,"""skale-network-logo.png""",,https://skale.space/?utm_medium=website&utm_source=coinmarketcap&utm_campaign=skalepage,https://skale.space/docs/?utm_medium=website&utm_source=coinmarketcap&utm_campaign=skalepage,https://twitter.com/SkaleNetwork,https://t.me/skaleofficial,,https://etherscan.io/token/0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,1
aragon,107,Aragon,ANT,"""aragon-logo.png""",,https://aragon.org/,https://wiki.aragon.org/documentation/whitepaper/,https://twitter.com/AragonProject,https://t.me/AragonProject,,https://etherscan.io/token/Aragon,1
yield-guild-games,108,Yield Guild Games,YGG,"""yield-guild-games-logo.png""",,https://yieldguild.io/,https://yieldguild.io/YGG-Whitepaper-English.pdf,https://twitter.com/YieldGuild,,https://discord.com/invite/ygg,https://etherscan.io/token/0x25f8087ead173b73d6e8b84329989a8eea16cf73,1
ravencoin,109,Ravencoin,RVN,"""ravencoin-logo.png""",,https://ravencoin.org/,https://ravencoin.org/whitepaper/,https://twitter.com/ravencoin,https://t.me/RavencoinDev,,https://ravencoin.network/,1
illuvium,110,Illuvium,ILV,"""illuvium-logo.png""",,https://illuvium.io/,https://www.docs.illuvium.io/,https://twitter.com/illuviumio,https://t.me/illuvium,,https://etherscan.io/token/0x767fe9edc9e0df98e07454847909b5e959d7ca0e,1
blox,111,Blox,CDT,"""blox-logo.png""",,,,,,,https://etherscan.io/token/0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af,1
siacoin,112,Siacoin,SC,"""siacoin-logo.png""",,https://sia.tech/,https://sia.tech/sia.pdf,https://twitter.com/Sia__Foundation,,,http://explore.sia.tech/,1
arcblock,113,Arcblock,ABT,"""arcblock-logo.png""",,https://www.arcblock.io/,https://www.arcblock.io/file/whitepaper/WhitePaperEnV2_en-US.pdf,https://twitter.com/ArcBlock_io,https://t.me/ArcBlock,,https://etherscan.io/token/0xb98d4c97425d9908e66e53a6fdf673acca0be986,1
frax-share,114,Frax Share,FXS,"""frax-share-logo.png""",,https://frax.finance,https://docs.frax.finance,https://twitter.com/fraxfinance,https://t.me/fraxfinance,,https://etherscan.io/token/0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,1
dydx,115,dYdX,DYDX,"""dydx-logo.png""",,,,,,,,1
qtum,116,Qtum,QTUM,"""qtum-logo.png""",,https://qtum.org/,https://qtumorg.s3.ap-northeast-2.amazonaws.com/Qtum_New_Whitepaper_en.pdf,https://twitter.com/qtum,https://t.me/qtumofficial,,https://qtum.info/,1
basic-attention-token,117,Basic Attention Token,BAT,"""basic-attention-token-logo.png""",,https://basicattentiontoken.org/,https://basicattentiontoken.org/BasicAttentionTokenWhitePaper-4.pdf,https://twitter.com/attentiontoken,,https://discord.com/invite/batbrigade,https://etherscan.io/token/Bat,1
loopring,118,Loopring,LRC,"""loopring-logo.png""",,https://loopring.org,https://github.com/Loopring/protocols/blob/master/packages/loopring_v3/DESIGN.md,https://twitter.com/loopringorg,https://t.me/loopring_en,,https://etherscan.io/token/0xEF68e7C694F40c8202821eDF525dE3782458639f,1
aelf,119,aelf,ELF,"""aelf-logo.png""",,http://aelf.com/,https://grid.hoopox.com/%C3%A6lf_whitepaper_v1.2.pdf,https://twitter.com/aelfblockchain,https://t.me/aelfblockchain,,https://etherscan.io/token/0xbf2179859fc6D5BEE9Bf9158632Dc51678a4100e,1
dash,120,Dash,DASH,"""dash-logo.png""",,https://www.dash.org/,https://docs.dash.org/,https://twitter.com/Dashpay,https://t.me/dash_chat,https://discord.com/invite/PXbUxJB,https://explorer.dash.org,1
casper,121,Casper,CSPR,"""casper-logo.png""",,https://casper.network/,https://casper.network/network/developers/getting-started,https://twitter.com/Casper_Network,https://t.me/casperblockchain,https://discord.com/invite/casperblockchain,https://casperstats.io/,1
